Rows:8
Cols:8
Number of Obstacles:0
Position of Obstacles (space between):-
K (Minimum number of pieces left in goal):8
Number of King, Queen, Bishop, Rook, Knight (space between):0 0 0 0 64
Position of Pieces [Piece, Pos]:
[Knight,a0]
[Knight,b0]
[Knight,c0]
[Knight,d0]
[Knight,e0]
[Knight,f0]
[Knight,g0]
[Knight,h0]
[Knight,a1]
[Knight,b1]
[Knight,c1]
[Knight,d1]
[Knight,e1]
[Knight,f1]
[Knight,g1]
[Knight,h1]
[Knight,a2]
[Knight,b2]
[Knight,c2]
[Knight,d2]
[Knight,e2]
[Knight,f2]
[Knight,g2]
[Knight,h2]
[Knight,a3]
[Knight,b3]
[Knight,c3]
[Knight,d3]
[Knight,e3]
[Knight,f3]
[Knight,g3]
[Knight,h3]
[Knight,a4]
[Knight,b4]
[Knight,c4]
[Knight,d4]
[Knight,e4]
[Knight,f4]
[Knight,g4]
[Knight,h4]
[Knight,a5]
[Knight,b5]
[Knight,c5]
[Knight,d5]
[Knight,e5]
[Knight,f5]
[Knight,g5]
[Knight,h5]
[Knight,a6]
[Knight,b6]
[Knight,c6]
[Knight,d6]
[Knight,e6]
[Knight,f6]
[Knight,g6]
[Knight,h6]
[Knight,a7]
[Knight,b7]
[Knight,c7]
[Knight,d7]
[Knight,e7]
[Knight,f7]
[Knight,g7]
[Knight,h7]
