Rows:8
Cols:8
Number of Obstacles:0
Position of Obstacles (space between):-
K (Minimum number of pieces left in goal):8
Number of King, Queen, Bishop, Rook, Knight (space between):0 0 0 64 0
Position of Pieces [Piece, Pos]:
[Rook,a0]
[Rook,b0]
[Rook,c0]
[Rook,d0]
[Rook,e0]
[Rook,f0]
[Rook,g0]
[Rook,h0]
[Rook,a1]
[Rook,b1]
[Rook,c1]
[Rook,d1]
[Rook,e1]
[Rook,f1]
[Rook,g1]
[Rook,h1]
[Rook,a2]
[Rook,b2]
[Rook,c2]
[Rook,d2]
[Rook,e2]
[Rook,f2]
[Rook,g2]
[Rook,h2]
[Rook,a3]
[Rook,b3]
[Rook,c3]
[Rook,d3]
[Rook,e3]
[Rook,f3]
[Rook,g3]
[Rook,h3]
[Rook,a4]
[Rook,b4]
[Rook,c4]
[Rook,d4]
[Rook,e4]
[Rook,f4]
[Rook,g4]
[Rook,h4]
[Rook,a5]
[Rook,b5]
[Rook,c5]
[Rook,d5]
[Rook,e5]
[Rook,f5]
[Rook,g5]
[Rook,h5]
[Rook,a6]
[Rook,b6]
[Rook,c6]
[Rook,d6]
[Rook,e6]
[Rook,f6]
[Rook,g6]
[Rook,h6]
[Rook,a7]
[Rook,b7]
[Rook,c7]
[Rook,d7]
[Rook,e7]
[Rook,f7]
[Rook,g7]
[Rook,h7]
