Rows:8
Cols:8
Number of Obstacles:0
Position of Obstacles (space between):-
K (Minimum number of pieces left in goal):8
Number of King, Queen, Bishop, Rook, Knight (space between):0 64 0 0 0
Position of Pieces [Piece, Pos]:
[Queen,a0]
[Queen,b0]
[Queen,c0]
[Queen,d0]
[Queen,e0]
[Queen,f0]
[Queen,g0]
[Queen,h0]
[Queen,a1]
[Queen,b1]
[Queen,c1]
[Queen,d1]
[Queen,e1]
[Queen,f1]
[Queen,g1]
[Queen,h1]
[Queen,a2]
[Queen,b2]
[Queen,c2]
[Queen,d2]
[Queen,e2]
[Queen,f2]
[Queen,g2]
[Queen,h2]
[Queen,a3]
[Queen,b3]
[Queen,c3]
[Queen,d3]
[Queen,e3]
[Queen,f3]
[Queen,g3]
[Queen,h3]
[Queen,a4]
[Queen,b4]
[Queen,c4]
[Queen,d4]
[Queen,e4]
[Queen,f4]
[Queen,g4]
[Queen,h4]
[Queen,a5]
[Queen,b5]
[Queen,c5]
[Queen,d5]
[Queen,e5]
[Queen,f5]
[Queen,g5]
[Queen,h5]
[Queen,a6]
[Queen,b6]
[Queen,c6]
[Queen,d6]
[Queen,e6]
[Queen,f6]
[Queen,g6]
[Queen,h6]
[Queen,a7]
[Queen,b7]
[Queen,c7]
[Queen,d7]
[Queen,e7]
[Queen,f7]
[Queen,g7]
[Queen,h7]
